node_id,partner_status,partner_id,partner_candidate_ids,signature_without_dual_equal,stored_edges_between_pair,semantic_op_dual_edges,involution_test,self_duality
127,UNIQUE_SIGNATURE_PARTNER,125,"[""125""]",true,[],[],NOT_VERIFIABLE_FROM_SNAPSHOT,NOT_EVALUATED
131,UNIQUE_SIGNATURE_PARTNER,130,"[""130""]",true,"[{""id"":""7747"",""source_id"":""130"",""target_id"":""131"",""operator"":""snapshot_v6:0047"",""paths"":11,""source_signature"":{""kind"":""CYCLE"",""dim"":1,""recurrence_order"":0,""factor"":""pi"",""symmetry"":""S-a"",""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":null,""occupancy"":null,""dual"":0},""target_signature"":{""kind"":""CYCLE"",""dim"":1,""recurrence_order"":0,""factor"":""pi"",""symmetry"":""S-a"",""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":null,""occupancy"":null,""dual"":1},""provenance_class"":""SNAPSHOT_IDENTIFIER_ONLY""},{""id"":""7930"",""source_id"":""131"",""target_id"":""130"",""operator"":""snapshot_v6:0268"",""paths"":1,""source_signature"":{""kind"":""CYCLE"",""dim"":1,""recurrence_order"":0,""factor"":""pi"",""symmetry"":""S-a"",""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":null,""occupancy"":null,""dual"":1},""target_signature"":{""kind"":""CYCLE"",""dim"":1,""recurrence_order"":0,""factor"":""pi"",""symmetry"":""S-a"",""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":null,""occupancy"":null,""dual"":0},""provenance_class"":""SNAPSHOT_IDENTIFIER_ONLY""},{""id"":""8265"",""source_id"":""131"",""target_id"":""130"",""operator"":""snapshot_v6:0727"",""paths"":1,""source_signature"":{""kind"":""CYCLE"",""dim"":1,""recurrence_order"":0,""factor"":""pi"",""symmetry"":""S-a"",""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":null,""occupancy"":null,""dual"":1},""target_signature"":{""kind"":""CYCLE"",""dim"":1,""recurrence_order"":0,""factor"":""pi"",""symmetry"":""S-a"",""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":null,""occupancy"":null,""dual"":0},""provenance_class"":""SNAPSHOT_IDENTIFIER_ONLY""}]",[],NOT_VERIFIABLE_FROM_SNAPSHOT,NOT_EVALUATED
136,UNIQUE_SIGNATURE_PARTNER,133,"[""133""]",true,"[{""id"":""7982"",""source_id"":""133"",""target_id"":""136"",""operator"":""snapshot_v6:0352"",""paths"":4,""source_signature"":{""kind"":""CYCLE"",""dim"":1,""recurrence_order"":0,""factor"":""pi"",""symmetry"":""S-a"",""sq"":null,""anti"":null,""multiplicity"":2,""boundary_condition"":null,""occupancy"":null,""dual"":0},""target_signature"":{""kind"":""CYCLE"",""dim"":1,""recurrence_order"":0,""factor"":""pi"",""symmetry"":""S-a"",""sq"":null,""anti"":null,""multiplicity"":2,""boundary_condition"":null,""occupancy"":null,""dual"":1},""provenance_class"":""SNAPSHOT_IDENTIFIER_ONLY""}]",[],NOT_VERIFIABLE_FROM_SNAPSHOT,NOT_EVALUATED
138,UNIQUE_SIGNATURE_PARTNER,134,"[""134""]",true,[],[],NOT_VERIFIABLE_FROM_SNAPSHOT,NOT_EVALUATED
139,UNIQUE_SIGNATURE_PARTNER,135,"[""135""]",true,[],[],NOT_VERIFIABLE_FROM_SNAPSHOT,NOT_EVALUATED
152,UNIQUE_SIGNATURE_PARTNER,151,"[""151""]",true,"[{""id"":""7732"",""source_id"":""151"",""target_id"":""152"",""operator"":""snapshot_v6:0026"",""paths"":6,""source_signature"":{""kind"":""INTEGER"",""dim"":1,""recurrence_order"":0,""factor"":""2pi"",""symmetry"":null,""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":null,""occupancy"":null,""dual"":0},""target_signature"":{""kind"":""INTEGER"",""dim"":1,""recurrence_order"":0,""factor"":""2pi"",""symmetry"":null,""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":null,""occupancy"":null,""dual"":1},""provenance_class"":""SNAPSHOT_IDENTIFIER_ONLY""},{""id"":""7909"",""source_id"":""152"",""target_id"":""151"",""operator"":""snapshot_v6:0235"",""paths"":1,""source_signature"":{""kind"":""INTEGER"",""dim"":1,""recurrence_order"":0,""factor"":""2pi"",""symmetry"":null,""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":null,""occupancy"":null,""dual"":1},""target_signature"":{""kind"":""INTEGER"",""dim"":1,""recurrence_order"":0,""factor"":""2pi"",""symmetry"":null,""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":null,""occupancy"":null,""dual"":0},""provenance_class"":""SNAPSHOT_IDENTIFIER_ONLY""}]",[],NOT_VERIFIABLE_FROM_SNAPSHOT,NOT_EVALUATED
156,UNIQUE_SIGNATURE_PARTNER,154,"[""154""]",true,[],[],NOT_VERIFIABLE_FROM_SNAPSHOT,NOT_EVALUATED
158,UNIQUE_SIGNATURE_PARTNER,155,"[""155""]",true,[],[],NOT_VERIFIABLE_FROM_SNAPSHOT,NOT_EVALUATED
161,UNIQUE_SIGNATURE_PARTNER,160,"[""160""]",true,"[{""id"":""7919"",""source_id"":""160"",""target_id"":""161"",""operator"":""snapshot_v6:0251"",""paths"":1,""source_signature"":{""kind"":""INTEGER"",""dim"":1,""recurrence_order"":0,""factor"":""2pi"",""symmetry"":""S+a"",""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":null,""occupancy"":null,""dual"":0},""target_signature"":{""kind"":""INTEGER"",""dim"":1,""recurrence_order"":0,""factor"":""2pi"",""symmetry"":""S+a"",""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":null,""occupancy"":null,""dual"":1},""provenance_class"":""SNAPSHOT_IDENTIFIER_ONLY""}]",[],NOT_VERIFIABLE_FROM_SNAPSHOT,NOT_EVALUATED
166,UNIQUE_SIGNATURE_PARTNER,165,"[""165""]",true,"[{""id"":""7931"",""source_id"":""165"",""target_id"":""166"",""operator"":""snapshot_v6:0271"",""paths"":1,""source_signature"":{""kind"":""INTEGER"",""dim"":1,""recurrence_order"":0,""factor"":""2pi"",""symmetry"":""S-a"",""sq"":null,""anti"":null,""multiplicity"":2,""boundary_condition"":null,""occupancy"":null,""dual"":0},""target_signature"":{""kind"":""INTEGER"",""dim"":1,""recurrence_order"":0,""factor"":""2pi"",""symmetry"":""S-a"",""sq"":null,""anti"":null,""multiplicity"":2,""boundary_condition"":null,""occupancy"":null,""dual"":1},""provenance_class"":""SNAPSHOT_IDENTIFIER_ONLY""}]",[],NOT_VERIFIABLE_FROM_SNAPSHOT,NOT_EVALUATED
