rank,id,kind,dim,verdict,classification,semantic_risk,semantic_risk_flags,root_classes,root_diversity,unique_parents,parent_signature_diversity,paths,provenance_quality,parent_ids,parent_kinds,parent_dimensions,parent_boundary_conditions,parent_symmetry_classes
31,230,WEIGHT,1,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_symmetry_classes"",""broad_root_mix""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,2,2,1,SNAPSHOT_IDENTIFIER_ONLY,"[""12"",""225""]","[""CARRIER"",""WEIGHT""]","[""0"",""1""]","[""∅""]","[""∅"",""S-a""]"
32,297,PRODUCT,2,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_symmetry_classes"",""broad_root_mix""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,2,2,1,SNAPSHOT_IDENTIFIER_ONLY,"[""11"",""291""]","[""CARRIER"",""PRODUCT""]","[""0"",""2""]","[""∅""]","[""∅"",""S-a""]"
33,298,PRODUCT,2,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_symmetry_classes"",""broad_root_mix""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,2,2,1,SNAPSHOT_IDENTIFIER_ONLY,"[""12"",""291""]","[""CARRIER"",""PRODUCT""]","[""0"",""2""]","[""∅""]","[""∅"",""S-a""]"
34,299,PRODUCT,2,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_symmetry_classes"",""broad_root_mix""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,2,2,1,SNAPSHOT_IDENTIFIER_ONLY,"[""11"",""292""]","[""CARRIER"",""PRODUCT""]","[""0"",""2""]","[""∅""]","[""∅"",""S-a""]"
35,300,PRODUCT,2,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_symmetry_classes"",""broad_root_mix""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,2,2,1,SNAPSHOT_IDENTIFIER_ONLY,"[""12"",""292""]","[""CARRIER"",""PRODUCT""]","[""0"",""2""]","[""∅""]","[""∅"",""S-a""]"
36,210,WEIGHT,1,UNMATCHED,REQUIRES_PROVENANCE,MEDIUM,"[""heterogeneous_parent_kinds"",""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D""]",5,5,5,12,SNAPSHOT_IDENTIFIER_ONLY,"[""51"",""103"",""105"",""109"",""110""]","[""BUNDLE"",""CYCLE""]","[""1""]","[""D""]","[""∅""]"
37,211,WEIGHT,1,UNMATCHED,REQUIRES_PROVENANCE,MEDIUM,"[""heterogeneous_parent_kinds"",""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND N""]",5,5,5,12,SNAPSHOT_IDENTIFIER_ONLY,"[""52"",""104"",""107"",""111"",""112""]","[""BUNDLE"",""CYCLE""]","[""1""]","[""N""]","[""∅""]"
38,239,BUNDLE,2,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D""]",5,5,5,11,SNAPSHOT_IDENTIFIER_ONLY,"[""103"",""105"",""109"",""110"",""276""]","[""CYCLE"",""PRODUCT""]","[""1"",""2""]","[""D""]","[""∅""]"
39,240,BUNDLE,2,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND N""]",5,5,5,11,SNAPSHOT_IDENTIFIER_ONLY,"[""104"",""107"",""111"",""112"",""277""]","[""CYCLE"",""PRODUCT""]","[""1"",""2""]","[""N""]","[""∅""]"
40,323,PRODUCT,3,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D""]",5,5,5,11,SNAPSHOT_IDENTIFIER_ONLY,"[""103"",""105"",""109"",""110"",""276""]","[""CYCLE"",""PRODUCT""]","[""1"",""2""]","[""D""]","[""∅""]"
